query,gold_doc_id,rank,retrieved_doc_id,score,is_gold,retrieved_abstract
How does federated averaging combine client models?,fedavg,1,fedavg,0.4572,True,Federated Averaging trains local models on client data and averages their weight updates on a central server.
How does federated averaging combine client models?,fedavg,2,differential_privacy_fl,0.1422,False,Differential privacy in federated learning clips and noises client updates to reduce leakage from model gradients.
How does federated averaging combine client models?,fedavg,3,secure_aggregation,0.0768,False,Secure aggregation protects individual client updates so the server can see only the aggregated model update.
How does federated averaging combine client models?,fedavg,4,fedprox,0.0632,False,FedProx adds a proximal term to stabilize federated learning when clients have non-IID data and different computation budgets.
How does federated averaging combine client models?,fedavg,5,macro_f1,0.0,False,"Macro F1 averages F1 scores across classes equally, making it useful when class balance matters."
Which federated method helps with non-IID clients?,fedprox,1,fedprox,0.388,True,FedProx adds a proximal term to stabilize federated learning when clients have non-IID data and different computation budgets.
Which federated method helps with non-IID clients?,fedprox,2,bm25,0.0834,False,"BM25 is a sparse lexical retrieval method based on term frequency, inverse document frequency, and document length."
Which federated method helps with non-IID clients?,fedprox,3,differential_privacy_fl,0.0621,False,Differential privacy in federated learning clips and noises client updates to reduce leakage from model gradients.
Which federated method helps with non-IID clients?,fedprox,4,fedavg,0.0613,False,Federated Averaging trains local models on client data and averages their weight updates on a central server.
Which federated method helps with non-IID clients?,fedprox,5,early_stopping,0.0,False,Early stopping halts training when validation performance stops improving to reduce overfitting.
How can a server aggregate updates without seeing each client update?,secure_aggregation,1,secure_aggregation,0.4256,True,Secure aggregation protects individual client updates so the server can see only the aggregated model update.
How can a server aggregate updates without seeing each client update?,secure_aggregation,2,fedavg,0.264,False,Federated Averaging trains local models on client data and averages their weight updates on a central server.
How can a server aggregate updates without seeing each client update?,secure_aggregation,3,differential_privacy_fl,0.1674,False,Differential privacy in federated learning clips and noises client updates to reduce leakage from model gradients.
How can a server aggregate updates without seeing each client update?,secure_aggregation,4,early_stopping,0.0,False,Early stopping halts training when validation performance stops improving to reduce overfitting.
How can a server aggregate updates without seeing each client update?,secure_aggregation,5,macro_f1,0.0,False,"Macro F1 averages F1 scores across classes equally, making it useful when class balance matters."
What privacy method adds noise to client gradients?,differential_privacy_fl,1,differential_privacy_fl,0.2748,True,Differential privacy in federated learning clips and noises client updates to reduce leakage from model gradients.
What privacy method adds noise to client gradients?,differential_privacy_fl,2,bm25,0.0919,False,"BM25 is a sparse lexical retrieval method based on term frequency, inverse document frequency, and document length."
What privacy method adds noise to client gradients?,differential_privacy_fl,3,fedprox,0.0917,False,FedProx adds a proximal term to stabilize federated learning when clients have non-IID data and different computation budgets.
What privacy method adds noise to client gradients?,differential_privacy_fl,4,secure_aggregation,0.074,False,Secure aggregation protects individual client updates so the server can see only the aggregated model update.
What privacy method adds noise to client gradients?,differential_privacy_fl,5,fedavg,0.0675,False,Federated Averaging trains local models on client data and averages their weight updates on a central server.
Why deploy inference near sensors?,edge_ai_latency,1,edge_ai_latency,0.4275,True,"Edge AI runs inference near sensors to reduce network latency, bandwidth usage, and dependence on cloud connectivity."
Why deploy inference near sensors?,edge_ai_latency,2,model_quantization,0.0793,False,Model quantization stores weights and activations with fewer bits to reduce memory use and speed up inference.
Why deploy inference near sensors?,edge_ai_latency,3,early_stopping,0.0,False,Early stopping halts training when validation performance stops improving to reduce overfitting.
Why deploy inference near sensors?,edge_ai_latency,4,cross_validation,0.0,False,Cross-validation estimates model performance by training and testing across multiple data splits.
Why deploy inference near sensors?,edge_ai_latency,5,macro_f1,0.0,False,"Macro F1 averages F1 scores across classes equally, making it useful when class balance matters."
What is machine learning on microcontrollers called?,tinyml,1,tinyml,0.1682,True,"TinyML deploys small neural networks on microcontrollers with strict memory, energy, and compute limits."
What is machine learning on microcontrollers called?,tinyml,2,differential_privacy_fl,0.1322,False,Differential privacy in federated learning clips and noises client updates to reduce leakage from model gradients.
What is machine learning on microcontrollers called?,tinyml,3,fedprox,0.1175,False,FedProx adds a proximal term to stabilize federated learning when clients have non-IID data and different computation budgets.
What is machine learning on microcontrollers called?,tinyml,4,early_stopping,0.0,False,Early stopping halts training when validation performance stops improving to reduce overfitting.
What is machine learning on microcontrollers called?,tinyml,5,macro_f1,0.0,False,"Macro F1 averages F1 scores across classes equally, making it useful when class balance matters."
How do we store model weights with fewer bits?,model_quantization,1,model_quantization,0.4544,True,Model quantization stores weights and activations with fewer bits to reduce memory use and speed up inference.
How do we store model weights with fewer bits?,model_quantization,2,hallucination,0.0638,False,Language model hallucination occurs when a model gives fluent but unsupported or false information.
How do we store model weights with fewer bits?,model_quantization,3,calibration,0.0391,False,Model calibration measures whether predicted probabilities match the true frequency of correctness.
How do we store model weights with fewer bits?,model_quantization,4,secure_aggregation,0.0376,False,Secure aggregation protects individual client updates so the server can see only the aggregated model update.
How do we store model weights with fewer bits?,model_quantization,5,cross_validation,0.0375,False,Cross-validation estimates model performance by training and testing across multiple data splits.
What compression method removes small neural network weights?,weight_pruning,1,tinyml,0.2325,False,"TinyML deploys small neural networks on microcontrollers with strict memory, energy, and compute limits."
What compression method removes small neural network weights?,weight_pruning,2,weight_pruning,0.1432,True,Weight pruning removes low-importance parameters from neural networks to reduce model size and computation.
What compression method removes small neural network weights?,weight_pruning,3,model_quantization,0.0846,False,Model quantization stores weights and activations with fewer bits to reduce memory use and speed up inference.
What compression method removes small neural network weights?,weight_pruning,4,bm25,0.0769,False,"BM25 is a sparse lexical retrieval method based on term frequency, inverse document frequency, and document length."
What compression method removes small neural network weights?,weight_pruning,5,edge_ai_latency,0.0756,False,"Edge AI runs inference near sensors to reduce network latency, bandwidth usage, and dependence on cloud connectivity."
Which vision model uses image patches and self-attention?,vision_transformer,1,vision_transformer,0.449,True,Vision Transformers split images into patches and use self-attention to mix visual information across the image.
Which vision model uses image patches and self-attention?,vision_transformer,2,swin_transformer,0.133,False,Swin Transformer computes attention inside shifted local windows to reduce the cost of vision transformers.
Which vision model uses image patches and self-attention?,vision_transformer,3,faster_rcnn,0.0835,False,Faster R-CNN uses region proposals followed by classification and bounding-box refinement for object detection.
Which vision model uses image patches and self-attention?,vision_transformer,4,object_detection,0.0752,False,Object detection predicts both class labels and bounding boxes for objects present in an image.
Which vision model uses image patches and self-attention?,vision_transformer,5,hallucination,0.0512,False,Language model hallucination occurs when a model gives fluent but unsupported or false information.
Which transformer uses shifted windows for images?,swin_transformer,1,swin_transformer,0.2908,True,Swin Transformer computes attention inside shifted local windows to reduce the cost of vision transformers.
Which transformer uses shifted windows for images?,swin_transformer,2,faster_rcnn,0.0967,False,Faster R-CNN uses region proposals followed by classification and bounding-box refinement for object detection.
Which transformer uses shifted windows for images?,swin_transformer,3,vision_transformer,0.0966,False,Vision Transformers split images into patches and use self-attention to mix visual information across the image.
Which transformer uses shifted windows for images?,swin_transformer,4,early_stopping,0.0,False,Early stopping halts training when validation performance stops improving to reduce overfitting.
Which transformer uses shifted windows for images?,swin_transformer,5,macro_f1,0.0,False,"Macro F1 averages F1 scores across classes equally, making it useful when class balance matters."
What model family learns local visual filters?,cnn_edges,1,cnn_edges,0.1944,True,"Convolutional neural networks learn local filters that detect edges, textures, object parts, and higher-level patterns."
What model family learns local visual filters?,cnn_edges,2,vision_transformer,0.1249,False,Vision Transformers split images into patches and use self-attention to mix visual information across the image.
What model family learns local visual filters?,cnn_edges,3,fedavg,0.0844,False,Federated Averaging trains local models on client data and averages their weight updates on a central server.
What model family learns local visual filters?,cnn_edges,4,swin_transformer,0.0832,False,Swin Transformer computes attention inside shifted local windows to reduce the cost of vision transformers.
What model family learns local visual filters?,cnn_edges,5,hallucination,0.0767,False,Language model hallucination occurs when a model gives fluent but unsupported or false information.
Which task predicts bounding boxes and labels?,object_detection,1,object_detection,0.5055,True,Object detection predicts both class labels and bounding boxes for objects present in an image.
Which task predicts bounding boxes and labels?,object_detection,2,node_classification,0.1598,False,"Node classification predicts labels for graph nodes using node features, graph structure, or both."
Which task predicts bounding boxes and labels?,object_detection,3,faster_rcnn,0.0833,False,Faster R-CNN uses region proposals followed by classification and bounding-box refinement for object detection.
Which task predicts bounding boxes and labels?,object_detection,4,confusion_matrix,0.0782,False,A confusion matrix shows which classes a classifier predicts correctly and which classes it confuses.
Which task predicts bounding boxes and labels?,object_detection,5,macro_f1,0.0,False,"Macro F1 averages F1 scores across classes equally, making it useful when class balance matters."
Which detector is known for single-pass real-time detection?,yolo,1,yolo,0.5103,True,YOLO performs object detection in a single forward pass and is often used when real-time speed matters.
Which detector is known for single-pass real-time detection?,yolo,2,community_detection,0.0601,False,Community detection finds groups of nodes that are more densely connected internally than externally.
Which detector is known for single-pass real-time detection?,yolo,3,object_detection,0.0592,False,Object detection predicts both class labels and bounding boxes for objects present in an image.
Which detector is known for single-pass real-time detection?,yolo,4,faster_rcnn,0.0522,False,Faster R-CNN uses region proposals followed by classification and bounding-box refinement for object detection.
Which detector is known for single-pass real-time detection?,yolo,5,early_stopping,0.0,False,Early stopping halts training when validation performance stops improving to reduce overfitting.
Which detector uses region proposals?,faster_rcnn,1,faster_rcnn,0.4834,True,Faster R-CNN uses region proposals followed by classification and bounding-box refinement for object detection.
Which detector uses region proposals?,faster_rcnn,2,macro_f1,0.0,False,"Macro F1 averages F1 scores across classes equally, making it useful when class balance matters."
Which detector uses region proposals?,faster_rcnn,3,early_stopping,0.0,False,Early stopping halts training when validation performance stops improving to reduce overfitting.
Which detector uses region proposals?,faster_rcnn,4,cross_validation,0.0,False,Cross-validation estimates model performance by training and testing across multiple data splits.
Which detector uses region proposals?,faster_rcnn,5,calibration,0.0,False,Model calibration measures whether predicted probabilities match the true frequency of correctness.
What does RAG retrieve before answering?,rag,1,macro_f1,0.0,False,"Macro F1 averages F1 scores across classes equally, making it useful when class balance matters."
What does RAG retrieve before answering?,rag,2,confusion_matrix,0.0,False,A confusion matrix shows which classes a classifier predicts correctly and which classes it confuses.
What does RAG retrieve before answering?,rag,3,early_stopping,0.0,False,Early stopping halts training when validation performance stops improving to reduce overfitting.
What does RAG retrieve before answering?,rag,4,cross_validation,0.0,False,Cross-validation estimates model performance by training and testing across multiple data splits.
What does RAG retrieve before answering?,rag,5,calibration,0.0,False,Model calibration measures whether predicted probabilities match the true frequency of correctness.
What retrieval method compares embedding vectors?,dense_retrieval,1,dense_retrieval,0.3395,True,Dense retrieval maps queries and documents into embedding vectors and ranks documents by vector similarity.
What retrieval method compares embedding vectors?,dense_retrieval,2,bm25,0.2221,False,"BM25 is a sparse lexical retrieval method based on term frequency, inverse document frequency, and document length."
What retrieval method compares embedding vectors?,dense_retrieval,3,rag,0.0659,False,Retrieval augmented generation retrieves external documents and conditions the answer on the retrieved evidence.
What retrieval method compares embedding vectors?,dense_retrieval,4,cross_validation,0.0,False,Cross-validation estimates model performance by training and testing across multiple data splits.
What retrieval method compares embedding vectors?,dense_retrieval,5,early_stopping,0.0,False,Early stopping halts training when validation performance stops improving to reduce overfitting.
Which sparse retriever uses term frequency and IDF?,bm25,1,bm25,0.3835,True,"BM25 is a sparse lexical retrieval method based on term frequency, inverse document frequency, and document length."
Which sparse retriever uses term frequency and IDF?,bm25,2,faster_rcnn,0.1009,False,Faster R-CNN uses region proposals followed by classification and bounding-box refinement for object detection.
Which sparse retriever uses term frequency and IDF?,bm25,3,calibration,0.093,False,Model calibration measures whether predicted probabilities match the true frequency of correctness.
Which sparse retriever uses term frequency and IDF?,bm25,4,fedprox,0.0735,False,FedProx adds a proximal term to stabilize federated learning when clients have non-IID data and different computation budgets.
Which sparse retriever uses term frequency and IDF?,bm25,5,confusion_matrix,0.0,False,A confusion matrix shows which classes a classifier predicts correctly and which classes it confuses.
What step reorders initially retrieved documents?,reranking,1,reranking,0.5007,True,Reranking applies a stronger model to reorder initially retrieved documents for better relevance.
What step reorders initially retrieved documents?,reranking,2,rag,0.1632,False,Retrieval augmented generation retrieves external documents and conditions the answer on the retrieved evidence.
What step reorders initially retrieved documents?,reranking,3,dense_retrieval,0.1174,False,Dense retrieval maps queries and documents into embedding vectors and ranks documents by vector similarity.
What step reorders initially retrieved documents?,reranking,4,cross_validation,0.0,False,Cross-validation estimates model performance by training and testing across multiple data splits.
What step reorders initially retrieved documents?,reranking,5,early_stopping,0.0,False,Early stopping halts training when validation performance stops improving to reduce overfitting.
What is a fluent but unsupported LLM answer called?,hallucination,1,hallucination,0.3618,True,Language model hallucination occurs when a model gives fluent but unsupported or false information.
What is a fluent but unsupported LLM answer called?,hallucination,2,rag,0.1181,False,Retrieval augmented generation retrieves external documents and conditions the answer on the retrieved evidence.
What is a fluent but unsupported LLM answer called?,hallucination,3,early_stopping,0.0,False,Early stopping halts training when validation performance stops improving to reduce overfitting.
What is a fluent but unsupported LLM answer called?,hallucination,4,cross_validation,0.0,False,Cross-validation estimates model performance by training and testing across multiple data splits.
What is a fluent but unsupported LLM answer called?,hallucination,5,calibration,0.0,False,Model calibration measures whether predicted probabilities match the true frequency of correctness.
What studies the effect of instructions and examples on LLM behavior?,prompt_engineering,1,prompt_engineering,0.5283,True,"Prompt engineering studies how instructions, examples, and constraints change language model behavior."
What studies the effect of instructions and examples on LLM behavior?,prompt_engineering,2,macro_f1,0.0,False,"Macro F1 averages F1 scores across classes equally, making it useful when class balance matters."
What studies the effect of instructions and examples on LLM behavior?,prompt_engineering,3,early_stopping,0.0,False,Early stopping halts training when validation performance stops improving to reduce overfitting.
What studies the effect of instructions and examples on LLM behavior?,prompt_engineering,4,cross_validation,0.0,False,Cross-validation estimates model performance by training and testing across multiple data splits.
What studies the effect of instructions and examples on LLM behavior?,prompt_engineering,5,calibration,0.0,False,Model calibration measures whether predicted probabilities match the true frequency of correctness.
What kind of agent calls calculators or search tools?,agent_tool_use,1,agent_tool_use,0.4208,True,Tool-using agents select external tools such as calculators or search functions to solve tasks more reliably.
What kind of agent calls calculators or search tools?,agent_tool_use,2,macro_f1,0.0,False,"Macro F1 averages F1 scores across classes equally, making it useful when class balance matters."
What kind of agent calls calculators or search tools?,agent_tool_use,3,early_stopping,0.0,False,Early stopping halts training when validation performance stops improving to reduce overfitting.
What kind of agent calls calculators or search tools?,agent_tool_use,4,cross_validation,0.0,False,Cross-validation estimates model performance by training and testing across multiple data splits.
What kind of agent calls calculators or search tools?,agent_tool_use,5,calibration,0.0,False,Model calibration measures whether predicted probabilities match the true frequency of correctness.
Which graph measure finds important nodes?,graph_centrality,1,graph_centrality,0.4815,True,"Graph centrality measures identify important nodes based on degree, shortest paths, or connections to other important nodes."
Which graph measure finds important nodes?,graph_centrality,2,gcn,0.1905,False,Graph convolutional networks learn node representations by aggregating information from neighboring graph nodes.
Which graph measure finds important nodes?,graph_centrality,3,community_detection,0.1899,False,Community detection finds groups of nodes that are more densely connected internally than externally.
Which graph measure finds important nodes?,graph_centrality,4,node_classification,0.186,False,"Node classification predicts labels for graph nodes using node features, graph structure, or both."
Which graph measure finds important nodes?,graph_centrality,5,confusion_matrix,0.0,False,A confusion matrix shows which classes a classifier predicts correctly and which classes it confuses.
What graph task finds densely connected groups?,community_detection,1,community_detection,0.523,True,Community detection finds groups of nodes that are more densely connected internally than externally.
What graph task finds densely connected groups?,community_detection,2,gcn,0.1093,False,Graph convolutional networks learn node representations by aggregating information from neighboring graph nodes.
What graph task finds densely connected groups?,community_detection,3,node_classification,0.1067,False,"Node classification predicts labels for graph nodes using node features, graph structure, or both."
What graph task finds densely connected groups?,community_detection,4,graph_centrality,0.0551,False,"Graph centrality measures identify important nodes based on degree, shortest paths, or connections to other important nodes."
What graph task finds densely connected groups?,community_detection,5,confusion_matrix,0.0,False,A confusion matrix shows which classes a classifier predicts correctly and which classes it confuses.
Which graph neural network aggregates neighbors?,gcn,1,gcn,0.1704,True,Graph convolutional networks learn node representations by aggregating information from neighboring graph nodes.
Which graph neural network aggregates neighbors?,gcn,2,node_classification,0.1664,False,"Node classification predicts labels for graph nodes using node features, graph structure, or both."
Which graph neural network aggregates neighbors?,gcn,3,edge_ai_latency,0.128,False,"Edge AI runs inference near sensors to reduce network latency, bandwidth usage, and dependence on cloud connectivity."
Which graph neural network aggregates neighbors?,gcn,4,tinyml,0.098,False,"TinyML deploys small neural networks on microcontrollers with strict memory, energy, and compute limits."
Which graph neural network aggregates neighbors?,gcn,5,weight_pruning,0.0967,False,Weight pruning removes low-importance parameters from neural networks to reduce model size and computation.
What task predicts labels for graph nodes?,node_classification,1,node_classification,0.5736,True,"Node classification predicts labels for graph nodes using node features, graph structure, or both."
What task predicts labels for graph nodes?,node_classification,2,gcn,0.2458,False,Graph convolutional networks learn node representations by aggregating information from neighboring graph nodes.
What task predicts labels for graph nodes?,node_classification,3,object_detection,0.1526,False,Object detection predicts both class labels and bounding boxes for objects present in an image.
What task predicts labels for graph nodes?,node_classification,4,graph_centrality,0.1374,False,"Graph centrality measures identify important nodes based on degree, shortest paths, or connections to other important nodes."
What task predicts labels for graph nodes?,node_classification,5,confusion_matrix,0.0688,False,A confusion matrix shows which classes a classifier predicts correctly and which classes it confuses.
What checks whether probabilities match correctness frequency?,calibration,1,calibration,0.5489,True,Model calibration measures whether predicted probabilities match the true frequency of correctness.
What checks whether probabilities match correctness frequency?,calibration,2,bm25,0.122,False,"BM25 is a sparse lexical retrieval method based on term frequency, inverse document frequency, and document length."
What checks whether probabilities match correctness frequency?,calibration,3,confusion_matrix,0.0,False,A confusion matrix shows which classes a classifier predicts correctly and which classes it confuses.
What checks whether probabilities match correctness frequency?,calibration,4,early_stopping,0.0,False,Early stopping halts training when validation performance stops improving to reduce overfitting.
What checks whether probabilities match correctness frequency?,calibration,5,cross_validation,0.0,False,Cross-validation estimates model performance by training and testing across multiple data splits.
What evaluation repeats training across several splits?,cross_validation,1,cross_validation,0.3214,True,Cross-validation estimates model performance by training and testing across multiple data splits.
What evaluation repeats training across several splits?,cross_validation,2,early_stopping,0.1405,False,Early stopping halts training when validation performance stops improving to reduce overfitting.
What evaluation repeats training across several splits?,cross_validation,3,confusion_matrix,0.0,False,A confusion matrix shows which classes a classifier predicts correctly and which classes it confuses.
What evaluation repeats training across several splits?,cross_validation,4,macro_f1,0.0,False,"Macro F1 averages F1 scores across classes equally, making it useful when class balance matters."
What evaluation repeats training across several splits?,cross_validation,5,calibration,0.0,False,Model calibration measures whether predicted probabilities match the true frequency of correctness.
What stops training when validation stops improving?,early_stopping,1,early_stopping,0.545,True,Early stopping halts training when validation performance stops improving to reduce overfitting.
What stops training when validation stops improving?,early_stopping,2,cross_validation,0.1397,False,Cross-validation estimates model performance by training and testing across multiple data splits.
What stops training when validation stops improving?,early_stopping,3,confusion_matrix,0.0,False,A confusion matrix shows which classes a classifier predicts correctly and which classes it confuses.
What stops training when validation stops improving?,early_stopping,4,macro_f1,0.0,False,"Macro F1 averages F1 scores across classes equally, making it useful when class balance matters."
What stops training when validation stops improving?,early_stopping,5,calibration,0.0,False,Model calibration measures whether predicted probabilities match the true frequency of correctness.
What table shows classifier confusions between classes?,confusion_matrix,1,confusion_matrix,0.4862,True,A confusion matrix shows which classes a classifier predicts correctly and which classes it confuses.
What table shows classifier confusions between classes?,confusion_matrix,2,macro_f1,0.0991,False,"Macro F1 averages F1 scores across classes equally, making it useful when class balance matters."
What table shows classifier confusions between classes?,confusion_matrix,3,early_stopping,0.0,False,Early stopping halts training when validation performance stops improving to reduce overfitting.
What table shows classifier confusions between classes?,confusion_matrix,4,cross_validation,0.0,False,Cross-validation estimates model performance by training and testing across multiple data splits.
What table shows classifier confusions between classes?,confusion_matrix,5,calibration,0.0,False,Model calibration measures whether predicted probabilities match the true frequency of correctness.
Which F1 treats each class equally?,macro_f1,1,macro_f1,0.4346,True,"Macro F1 averages F1 scores across classes equally, making it useful when class balance matters."
Which F1 treats each class equally?,macro_f1,2,object_detection,0.1165,False,Object detection predicts both class labels and bounding boxes for objects present in an image.
Which F1 treats each class equally?,macro_f1,3,early_stopping,0.0,False,Early stopping halts training when validation performance stops improving to reduce overfitting.
Which F1 treats each class equally?,macro_f1,4,cross_validation,0.0,False,Cross-validation estimates model performance by training and testing across multiple data splits.
Which F1 treats each class equally?,macro_f1,5,calibration,0.0,False,Model calibration measures whether predicted probabilities match the true frequency of correctness.
